ID,Reaction,Node
DM_10fthf5glu,10fthf5glu[cA] -->,Terminal
DM_10fthf6glu,10fthf6glu[cA] -->,Terminal
DM_10fthf7glu,10fthf7glu[cA] -->,Terminal
DM_5thf,5thf[cA] -->,Terminal
DM_6dhf,6dhf[cA] -->,Terminal
DM_6thf,6thf[cA] -->,Terminal
DM_7dhf,7dhf[cA] -->,Terminal
DM_7thf,7thf[cA] -->,Terminal
DM_ahcys,ahcys[cA] -->,Terminal
DM_atp(c),atp[cA] + h2o[cA] --> adp[cA] + h[cA] + pi[cA],Terminal
DM_fald,fald[cA] -->,Terminal
DM_for,for[cA] -->,Terminal
DM_pheme(c),pheme[cA] -->,Terminal
DM_q10(m),q10[mA] -->,Terminal
DM_thf(c),thf[cA] -->,Terminal
EX_3aib(e),3aib[e] -->,Exchange
EX_4abut(e),4abut[e] -->,Exchange
EX_ac(e),ac[e] -->,Exchange
EX_acac(e),acac[e] -->,Exchange
EX_acald(e),acald[e] -->,Exchange
EX_ala-B(e),ala-B[e] -->,Exchange
EX_arg-L(e),arg-L[e] -->,Exchange
EX_asn-L(e),asn-L[e] -->,Exchange
EX_bhb(e),bhb[e] -->,Exchange
EX_btn(e),btn[e] -->,Exchange
EX_co2(e),co2[e] <=>,Exchange
EX_crn(e),crn[e] -->,Exchange
EX_cyan(e),cyan[e] <=>,Exchange
EX_cys-L(e),cys-L[e] -->,Exchange
EX_duri(e),duri[e] -->,Exchange
EX_etoh(e),etoh[e] -->,Exchange
EX_fe2(e),fe2[e] <=>,Exchange
EX_glc(e),glc-D[e] <--,Exchange
EX_gln-L(e),gln-L[e] -->,Exchange
EX_glu-L(e),glu-L[e] -->,Exchange
EX_gly(e),gly[e] -->,Exchange
EX_glyc(e),glyc[e] -->,Exchange
EX_h(e),h[e] <=>,Exchange
EX_h2o(e),h2o[e] <=>,Exchange
EX_h2o2(e),h2o2[e] -->,Exchange
EX_hco3(e),hco3[e] <=>,Exchange
EX_ile-L(e),ile-L[e] -->,Exchange
EX_k(e),k[e] <=>,Exchange
EX_lac-D(e),lac-D[e] -->,Exchange
EX_lac-L(e),lac-L[e] -->,Exchange
EX_leu-L(e),leu-L[e] -->,Exchange
EX_lys-L(e),lys-L[e] -->,Exchange
EX_na1(e),na1[e] <=>,Exchange
EX_nh4(e),nh4[e] <--,Exchange
EX_o2(e),o2[e] <--,Exchange
EX_o2s(e),o2s[e] -->,Exchange
EX_orn(e),orn[e] -->,Exchange
EX_pe_hs(e),pe_hs[e] -->,Exchange
EX_pi(e),pi[e] <=>,Exchange
EX_ppa(e),ppa[e] -->,Exchange
EX_pro-L(e),pro-L[e] -->,Exchange
EX_ps_hs(e),ps_hs[e] -->,Exchange
EX_pyr(e),pyr[e] -->,Exchange
EX_sarcs(e),sarcs[e] -->,Exchange
EX_ser-L(e),ser-L[e] -->,Exchange
EX_so4(e),so4[e] <=>,Exchange
EX_tcynt(e),tcynt[e] <=>,Exchange
EX_thymd(e),thymd[e] -->,Exchange
EX_urea(e),urea[e] <=>,Exchange
EX_uri(e),uri[e] -->,Exchange
EX_val-L(e),val-L[e] -->,Exchange
sink_4hpro-LT(m),4hpro-LT[mA] -->,Terminal
sink_amet,amet[cA] -->,Terminal
sink_decdp,decdp[cA] -->,Terminal
sink_dhf(c),dhf[cA] -->,Terminal
sink_dmgly,dmgly[cA] -->,Terminal
sink_tyr-L(m),tyr-L[mA] -->,Terminal
10FTHF5GLUtm,10fthf5glu[mA] --> 10fthf5glu[cA],Astrocyte
10FTHF6GLUtm,10fthf6glu[mA] --> 10fthf6glu[cA],Astrocyte
10FTHF7GLUtm,10fthf7glu[mA] --> 10fthf7glu[cA],Astrocyte
10FTHFtm,10fthf[cA] <=> 10fthf[mA],Astrocyte
"1a,24,25VITD2Hm",2425dhvitd2[mA] + h[mA] + nadph[mA] + o2[mA] --> 1a2425thvitd2[mA] + h2o[mA] + nadp[mA],Astrocyte
"1a,24,25VITD3Hm",2425dhvitd3[mA] + h[mA] + nadph[mA] + o2[mA] --> 1a2425thvitd3[mA] + h2o[mA] + nadp[mA],Astrocyte
"1a,25VITD2Hm",1a25dhvitd2[mA] + h[mA] + nadph[mA] + o2[mA] --> 1a2425thvitd2[mA] + h2o[mA] + nadp[mA],Astrocyte
"1a,25VITD3Hm",1a25dhvitd3[mA] + h[mA] + nadph[mA] + o2[mA] --> 1a2425thvitd3[mA] + h2o[mA] + nadp[mA],Astrocyte
"24,25VITD2Hm",25hvitd2[mA] + h[mA] + nadph[mA] + o2[mA] --> 2425dhvitd2[mA] + h2o[mA] + nadp[mA],Astrocyte
"24,25VITD3Hm",25hvitd3[mA] + h[mA] + nadph[mA] + o2[mA] --> 2425dhvitd3[mA] + h2o[mA] + nadp[mA],Astrocyte
25HVITD2t,25hvitd2[cA] --> 25hvitd2[e],Astrocyte
25HVITD2tin,25hvitd2[e] --> 25hvitd2[cA],Astrocyte
25HVITD2tin_m,25hvitd2[cA] --> 25hvitd2[mA],Astrocyte
25HVITD2tm,25hvitd2[mA] --> 25hvitd2[cA],Astrocyte
25HVITD3t,25hvitd3[cA] --> 25hvitd3[e],Astrocyte
25HVITD3tin,25hvitd3[e] --> 25hvitd3[cA],Astrocyte
25HVITD3tin_m,25hvitd3[cA] --> 25hvitd3[mA],Astrocyte
25HVITD3tm,25hvitd3[mA] --> 25hvitd3[cA],Astrocyte
25VITD2Hm,25hvitd2[mA] + h[mA] + nadph[mA] + o2[mA] --> 1a25dhvitd2[mA] + h2o[mA] + nadp[mA],Astrocyte
25VITD3Hm,25hvitd3[mA] + h[mA] + nadph[mA] + o2[mA] --> 1a25dhvitd3[mA] + h2o[mA] + nadp[mA],Astrocyte
2AMADPTm,L2aadp[cA] + akg[mA] <=> L2aadp[mA] + akg[cA],Astrocyte
2OXOADOXm,2oxoadp[mA] + coa[mA] + nad[mA] --> co2[mA] + glutcoa[mA] + nadh[mA],Astrocyte
2OXOADPTm,2oxoadp[cA] + akg[mA] <=> 2oxoadp[mA] + akg[cA],Astrocyte
34HPLFM,34hpp[mA] + h[mA] + nadh[mA] --> 34hpl[mA] + nad[mA],Astrocyte
3AIBTm,2mop[mA] + glu-L[mA] <=> 3aib[mA] + akg[mA],Astrocyte
3AIBt,3aib[cA] --> 3aib[e],Astrocyte
3AIBtm,3aib[mA] --> 3aib[cA],Astrocyte
3DPHBH1,3dphb[mA] + h[mA] + nadh[mA] + o2[mA] --> 3dpdhb[mA] + h2o[mA] + nad[mA],Astrocyte
3DPHBH2,3dphb[mA] + h[mA] + nadph[mA] + o2[mA] --> 3dpdhb[mA] + h2o[mA] + nadp[mA],Astrocyte
3HBCDm,b2coa[mA] + h2o[mA] <=> 3hbcoa-R[mA],Astrocyte
3HBCOAHLm,3hibutcoa[mA] + h2o[mA] --> 3hmp[mA] + coa[mA] + h[mA],Astrocyte
3SALAASPm,3sala[mA] + asp-L[cA] <=> 3sala[cA] + asp-L[mA],Astrocyte
3SALATAim,3sala[mA] + akg[mA] + h[mA] --> 3snpyr[mA] + glu-L[mA],Astrocyte
3SPYRSPm,3snpyr[mA] + h2o[mA] --> h[mA] + pyr[mA] + so3[mA],Astrocyte
4ABUTtm,4abut[cA] <=> 4abut[mA],Astrocyte
4HBZCOAFm,coa[mA] + coucoa[mA] + h2o[mA] + nad[mA] --> 4hbzcoa[mA] + accoa[mA] + h[mA] + nadh[mA],Astrocyte
4HBZFm,4hbzcoa[mA] + h2o[mA] --> 4hbz[mA] + coa[mA] + h[mA],Astrocyte
4HGLSDm,4hglusa[mA] + h2o[mA] + nad[mA] <=> e4hglu[mA] + 2.0 h[mA] + nadh[mA],Astrocyte
5AOPtm,5aop[cA] <=> 5aop[mA],Astrocyte
5HOXINDACTOXm,5hoxindact[mA] + h2o[mA] + nad[mA] --> 5hoxindoa[mA] + 2.0 h[mA] + nadh[mA],Astrocyte
5THFtm,5thf[mA] --> 5thf[cA],Astrocyte
6DHFtm,6dhf[mA] --> 6dhf[cA],Astrocyte
6THFtm,6thf[mA] --> 6thf[cA],Astrocyte
7DHFtm,7dhf[mA] --> 7dhf[cA],Astrocyte
7THFtm,7thf[mA] --> 7thf[cA],Astrocyte
AACOAT,acac[cA] + atp[cA] + coa[cA] <=> aacoa[cA] + amp[cA] + ppi[cA],Astrocyte
AACTOOR,aact[cA] + h2o[cA] + o2[cA] --> h2o2[cA] + mthgxl[cA] + nh4[cA],Astrocyte
AACTtm,aact[mA] --> aact[cA],Astrocyte
AASAD3m,L2aadp6sa[mA] + h2o[mA] + nad[mA] --> L2aadp[mA] + 2.0 h[mA] + nadh[mA],Astrocyte
AATAi,L2aadp[cA] + akg[cA] --> 2oxoadp[cA] + glu-L[cA],Astrocyte
ABTArm,4abut[mA] + akg[mA] <=> glu-L[mA] + sucsal[mA],Astrocyte
ABUTt2r,4abut[e] + h[e] <=> 4abut[cA] + h[cA],Astrocyte
ACACT10m,2maacoa[mA] + coa[mA] <=> accoa[mA] + ppcoa[mA],Astrocyte
ACACT1r,2.0 accoa[cA] <=> aacoa[cA] + coa[cA],Astrocyte
ACACT1rm,2.0 accoa[mA] <=> aacoa[mA] + coa[mA],Astrocyte
ACACt2,acac[e] + h[e] <=> acac[cA] + h[cA],Astrocyte
ACACt2m,acac[cA] + h[cA] <=> acac[mA] + h[mA],Astrocyte
ACALDt,acald[e] <=> acald[cA],Astrocyte
ACALDtm,acald[mA] <=> acald[cA],Astrocyte
ACCOALm,atp[mA] + coa[mA] + ppa[mA] --> amp[mA] + ppcoa[mA] + ppi[mA],Astrocyte
ACOAD10m,2mbcoa[mA] + fad[mA] --> 2mb2coa[mA] + fadh2[mA],Astrocyte
ACOAD1fm,btcoa[mA] + fad[mA] --> b2coa[mA] + fadh2[mA],Astrocyte
ACOAD8m,fad[mA] + ivcoa[mA] --> 3mb2coa[mA] + fadh2[mA],Astrocyte
ACOAD9m,fad[mA] + ibcoa[mA] --> 2mp2coa[mA] + fadh2[mA],Astrocyte
ACONTm,cit[mA] <=> icit[mA],Astrocyte
ACRNtm,acrn[cA] --> acrn[mA],Astrocyte
ACSm,ac[mA] + atp[mA] + coa[mA] --> accoa[mA] + amp[mA] + ppi[mA],Astrocyte
ACYP,13dpg[cA] + h2o[cA] --> 3pg[cA] + h[cA] + pi[cA],Astrocyte
ACt2m,ac[cA] + h[cA] <=> ac[mA] + h[mA],Astrocyte
ACt2r,ac[e] + h[e] <=> ac[cA] + h[cA],Astrocyte
ADCim,acac[mA] + h[mA] --> acetone[mA] + co2[mA],Astrocyte
ADK1,amp[cA] + atp[cA] <=> 2.0 adp[cA],Astrocyte
ADK1m,amp[mA] + atp[mA] <=> 2.0 adp[mA],Astrocyte
ADK3m,amp[mA] + gtp[mA] <=> adp[mA] + gdp[mA],Astrocyte
ADPRDPm,adprib[mA] + h2o[mA] --> amp[mA] + 2.0 h[mA] + r5p[mA],Astrocyte
AGMTm,agm[mA] + h2o[mA] --> ptrc[mA] + urea[mA],Astrocyte
AGPRim,acg5p[mA] + h[mA] + nadph[mA] --> acg5sa[mA] + nadp[mA] + pi[mA],Astrocyte
AGTim,ala-L[mA] + glx[mA] --> gly[mA] + pyr[mA],Astrocyte
AKGDm,akg[mA] + coa[mA] + nad[mA] --> co2[mA] + nadh[mA] + succoa[mA],Astrocyte
AKGMALtm,akg[mA] + mal-L[cA] <=> akg[cA] + mal-L[mA],Astrocyte
ALASm,gly[mA] + h[mA] + succoa[mA] --> 5aop[mA] + co2[mA] + coa[mA],Astrocyte
ALCD2if,etoh[cA] + nad[cA] --> acald[cA] + h[cA] + nadh[cA],Astrocyte
ALCD2yf,etoh[cA] + nadp[cA] --> acald[cA] + h[cA] + nadph[cA],Astrocyte
ALDD20xm,h2o[mA] + id3acald[mA] + nad[mA] --> 2.0 h[mA] + ind3ac[mA] + nadh[mA],Astrocyte
ALDD2x,acald[cA] + h2o[cA] + nad[cA] --> ac[cA] + 2.0 h[cA] + nadh[cA],Astrocyte
ALDD2xm,acald[mA] + h2o[mA] + nad[mA] --> ac[mA] + 2.0 h[mA] + nadh[mA],Astrocyte
ALDD2y,acald[cA] + h2o[cA] + nadp[cA] --> ac[cA] + 2.0 h[cA] + nadph[cA],Astrocyte
ALR,h2o[cA] + mthgxl[cA] + nadp[cA] --> 2.0 h[cA] + nadph[cA] + pyr[cA],Astrocyte
AMETt2m,ahcys[mA] + amet[cA] <=> ahcys[cA] + amet[mA],Astrocyte
AOBUTDsm,2aobut[mA] + h[mA] --> aact[mA] + co2[mA],Astrocyte
APAT2rm,akg[mA] + ala-B[mA] <=> glu-L[mA] + msa[mA],Astrocyte
APOC_LYS_BTNPm,apoC-Lys_btn[mA] + h2o[mA] --> apoC[mA] + biocyt[mA],Astrocyte
APOCFm,apoC[mA] + lys-L[mA] --> apoC-Lys[mA] + h2o[mA] + h[mA],Astrocyte
ARGDCm,arg-L[mA] + h[mA] --> agm[mA] + co2[mA],Astrocyte
ARGLYSex,arg-L[e] + lys-L[cA] --> arg-L[cA] + lys-L[e],Astrocyte
ARGtiDF,arg-L[e] --> arg-L[cA],Astrocyte
ARGtm,arg-L[cA] + h[mA] <=> arg-L[mA] + h[cA],Astrocyte
ASNNm,asn-L[mA] + h2o[mA] --> asp-L[mA] + nh4[mA],Astrocyte
ASNt4,asn-L[e] + na1[e] --> asn-L[cA] + na1[cA],Astrocyte
ASNtm,asn-L[cA] --> asn-L[mA],Astrocyte
ASPGLUm,asp-L[mA] + glu-L[cA] + h[cA] --> asp-L[cA] + glu-L[mA] + h[mA],Astrocyte
ASPTA,akg[cA] + asp-L[cA] <=> glu-L[cA] + oaa[cA],Astrocyte
ASPTAm,akg[mA] + asp-L[mA] <=> glu-L[mA] + oaa[mA],Astrocyte
ATPS4m,adp[mA] + 4.0 h[cA] + pi[mA] --> atp[mA] + h2o[mA] + 3.0 h[mA],Astrocyte
ATPtm,adp[cA] + atp[mA] --> adp[mA] + atp[cA],Astrocyte
BACCLm,atp[mA] + btn[mA] + h[mA] --> btamp[mA] + ppi[mA],Astrocyte
BALAVECSEC,3.0 ala-B[cA] + atp[cA] + h2o[cA] --> adp[cA] + 3.0 ala-B[e] + h[cA] + pi[cA],Astrocyte
BALAtmr,ala-B[cA] <=> ala-B[mA],Astrocyte
BAMPPALDOXm,bamppald[mA] + h2o[mA] + nad[mA] --> ala-B[mA] + 2.0 h[mA] + nadh[mA],Astrocyte
BDHm,bhb[mA] + nad[mA] <=> acac[mA] + h[mA] + nadh[mA],Astrocyte
BETALDHxm,betald[mA] + h2o[mA] + nad[mA] --> glyb[mA] + 2.0 h[mA] + nadh[mA],Astrocyte
BHBt,bhb[e] + h[e] <=> bhb[cA] + h[cA],Astrocyte
BHBtm,bhb[cA] + h[cA] <=> bhb[mA] + h[mA],Astrocyte
BTNDm,biocyt[mA] + h2o[mA] --> btn[mA] + lys-L[mA],Astrocyte
BTNPLm,apoC-Lys[mA] + btamp[mA] --> amp[mA] + apoC-Lys_btn[mA] + h[mA],Astrocyte
BTNt2,btn[e] + h[e] <=> btn[cA] + h[cA],Astrocyte
BTNt2m,btn[cA] + h[cA] <=> btn[mA] + h[mA],Astrocyte
BTNt4i,btn[e] + h[cA] --> btn[cA] + h[e],Astrocyte
C160CPT2,coa[mA] + pmtcrn[mA] --> crn[mA] + pmtcoa[mA],Astrocyte
C160CRNt,pmtcrn[cA] --> pmtcrn[mA],Astrocyte
C204CPT2,arachdcrn[mA] + coa[mA] --> arachdcoa[mA] + crn[mA],Astrocyte
C226CPT2,c226crn[mA] + coa[mA] --> c226coa[mA] + crn[mA],Astrocyte
C2M26DCOAHLm,c2m26dcoa[mA] + h2o[mA] <=> 3h26dm5coa[mA],Astrocyte
CATm,2.0 h2o2[mA] --> 2.0 h2o[mA] + o2[mA],Astrocyte
CBL2tm,cbl2[cA] --> cbl2[mA],Astrocyte
CBLATm,atp[mA] + cbl1[mA] + h[mA] <=> adocbl[mA] + pppi[mA],Astrocyte
CDPDAGtm,cdpdag_hs[cA] <=> cdpdag_hs[mA],Astrocyte
CDSm,ctp[mA] + h[mA] + pa_hs[mA] --> cdpdag_hs[mA] + ppi[mA],Astrocyte
CHSTEROLt3,chsterol[cA] <=> chsterol[mA],Astrocyte
CITRtm,citr-L[mA] <=> citr-L[cA],Astrocyte
CITtam,cit[cA] + mal-L[mA] <=> cit[mA] + mal-L[cA],Astrocyte
CITtbm,cit[cA] + pep[mA] <=> cit[mA] + pep[cA],Astrocyte
CK,atp[mA] + creat[mA] <=> adp[mA] + pcreat[mA],Astrocyte
CO2t,co2[e] <=> co2[cA],Astrocyte
CO2tm,co2[cA] <=> co2[mA],Astrocyte
COQ3m,2dpmhobq[mA] + amet[mA] --> ahcys[mA] + h[mA] + q10[mA],Astrocyte
COQ5m,2dp6mobq[mA] + amet[mA] --> 2dp6mobq_me[mA] + ahcys[mA] + h[mA],Astrocyte
COQ6m,2dp6mep[mA] + o2[mA] --> 2dp6mobq[mA] + h2o[mA],Astrocyte
COQ7m,2dp6mobq_me[mA] + h[mA] + nadph[mA] + o2[mA] --> 2dpmhobq[mA] + h2o[mA] + nadp[mA],Astrocyte
COUCOAFm,T4hcinnm[mA] + atp[mA] + coa[mA] --> amp[mA] + coucoa[mA] + ppi[mA],Astrocyte
CPPPGO,cpppg3[cA] + 2.0 h[cA] + o2[cA] --> 2.0 co2[cA] + 2.0 h2o[cA] + pppg9[cA],Astrocyte
CRNt,crn[e] <=> crn[cA],Astrocyte
CRNtim,crn[mA] --> crn[cA],Astrocyte
CSNAT2m,coa[mA] + pcrn[mA] <=> crn[mA] + ppcoa[mA],Astrocyte
CSNATm,acrn[mA] + coa[mA] <=> accoa[mA] + crn[mA],Astrocyte
CSm,accoa[mA] + h2o[mA] + oaa[mA] --> cit[mA] + coa[mA] + h[mA],Astrocyte
CYANSTm,cyan[mA] + tsul[mA] --> h[mA] + so3[mA] + tcynt[mA],Astrocyte
CYANt,cyan[e] <=> cyan[cA],Astrocyte
CYANtm,cyan[cA] <=> cyan[mA],Astrocyte
CYOOm2,4.0 focytC[mA] + 8.0 h[mA] + o2[mA] --> 4.0 ficytC[mA] + 2.0 h2o[mA] + 4.0 h[cA],Astrocyte
CYOR-u10m,2.0 ficytC[mA] + 2.0 h[mA] + q10h2[mA] --> 2.0 focytC[mA] + 4.0 h[cA] + q10[mA],Astrocyte
CYSGLUexR,cys-L[e] + gln-L[cA] --> cys-L[cA] + gln-L[e],Astrocyte
CYSGLYex,cys-L[cA] + gly[e] --> cys-L[e] + gly[cA],Astrocyte
CYSGLYexR,cys-L[cA] + gly[e] <=> cys-L[e] + gly[cA],Astrocyte
CYSO,cys-L[cA] + o2[cA] --> 3sala[cA] + 2.0 h[cA],Astrocyte
CYSTAm,akg[mA] + cys-L[mA] <=> glu-L[mA] + mercppyr[mA],Astrocyte
CYStec,cys-L[e] <=> cys-L[cA],Astrocyte
CYTK1m,atp[mA] + cmp[mA] <=> adp[mA] + cdp[mA],Astrocyte
D-LACt2,h[e] + lac-D[e] <=> h[cA] + lac-D[cA],Astrocyte
D-LACtm,h[cA] + lac-D[cA] <=> h[mA] + lac-D[mA],Astrocyte
DDPGAm,4h2oglt[mA] <=> glx[mA] + pyr[mA],Astrocyte
DECDPtm,decdp[cA] <=> decdp[mA],Astrocyte
DGNSKm,atp[mA] + dgsn[mA] --> adp[mA] + dgmp[mA] + h[mA],Astrocyte
DGSNt,dgsn[e] <=> dgsn[cA],Astrocyte
DGSNtm,dgsn[cA] <=> dgsn[mA],Astrocyte
DHDPBMTm,3dpdhb[mA] + amet[mA] --> 3dpdhb_me[mA] + ahcys[mA] + h[mA],Astrocyte
DHFtm,dhf[cA] <=> dhf[mA],Astrocyte
DMGDHm,dmgly[mA] + fad[mA] + h2o[mA] --> fadh2[mA] + fald[mA] + sarcs[mA],Astrocyte
DMGtm,dmgly[cA] <=> dmgly[mA],Astrocyte
DPGM,13dpg[cA] <=> 23dpg[cA] + h[cA],Astrocyte
DPGase,23dpg[cA] + h2o[cA] --> 3pg[cA] + pi[cA],Astrocyte
DPHMBDCm,3dpdhb_me[mA] + h[mA] --> 2dp6mep[mA] + co2[mA],Astrocyte
DURIK1m,atp[mA] + duri[mA] --> adp[mA] + dump[mA] + h[mA],Astrocyte
DURIt,duri[e] <=> duri[cA],Astrocyte
DUTPDPm,dutp[mA] + h2o[mA] --> dump[mA] + h[mA] + ppi[mA],Astrocyte
ECOAH12m,2mp2coa[mA] + h2o[mA] <=> 3hibutcoa[mA],Astrocyte
ECOAH1m,3hbcoa[mA] <=> b2coa[mA] + h2o[mA],Astrocyte
ECOAH9m,2mb2coa[mA] + h2o[mA] <=> 3hmbcoa[mA],Astrocyte
EHGLAT2m,e4hglu[mA] + oaa[mA] --> 4h2oglt[mA] + asp-L[mA],Astrocyte
EHGLATm,akg[mA] + e4hglu[mA] --> 4h2oglt[mA] + glu-L[mA],Astrocyte
ENO,2pg[cA] <=> h2o[cA] + pep[cA],Astrocyte
ETF,etfox[mA] + fadh2[mA] --> etfrd[mA] + fad[mA],Astrocyte
ETFQO,etfrd[mA] + q10[mA] --> etfox[mA] + q10h2[mA],Astrocyte
ETOHMO,etoh[cA] + h[cA] + nadph[cA] + o2[cA] --> acald[cA] + 2.0 h2o[cA] + nadp[cA],Astrocyte
ETOHt,etoh[e] <=> etoh[cA],Astrocyte
FALDtm,fald[mA] <=> fald[cA],Astrocyte
FBA,fdp[cA] <=> dhap[cA] + g3p[cA],Astrocyte
FCLTm,fe2[mA] + ppp9[mA] --> 2.0 h[mA] + pheme[mA],Astrocyte
FE2t,fe2[e] --> fe2[cA],Astrocyte
FE2tm,fe2[cA] + h[cA] --> fe2[mA] + h[mA],Astrocyte
FORt2m,for[mA] <=> for[cA],Astrocyte
FPGS2m,5thf[mA] + atp[mA] + glu-L[mA] --> 6thf[mA] + adp[mA] + h[mA] + pi[mA],Astrocyte
FPGS3m,6thf[mA] + atp[mA] + glu-L[mA] --> 7thf[mA] + adp[mA] + h[mA] + pi[mA],Astrocyte
FPGS4m,4.0 atp[mA] + dhf[mA] + 4.0 glu-L[mA] --> 5dhf[mA] + 4.0 adp[mA] + 4.0 h[mA] + 4.0 pi[mA],Astrocyte
FPGS5m,5dhf[mA] + atp[mA] + glu-L[mA] --> 6dhf[mA] + adp[mA] + h[mA] + pi[mA],Astrocyte
FPGS6m,6dhf[mA] + atp[mA] + glu-L[mA] --> 7dhf[mA] + adp[mA] + h[mA] + pi[mA],Astrocyte
FPGS7m,10fthf[mA] + 4.0 atp[mA] + 4.0 glu-L[mA] --> 10fthf5glu[mA] + 4.0 adp[mA] + 4.0 h[mA] + 4.0 pi[mA],Astrocyte
FPGS8m,10fthf5glu[mA] + atp[mA] + glu-L[mA] --> 10fthf6glu[mA] + adp[mA] + h[mA] + pi[mA],Astrocyte
FPGS9m,10fthf6glu[mA] + atp[mA] + glu-L[mA] --> 10fthf7glu[mA] + adp[mA] + h[mA] + pi[mA],Astrocyte
FPGSm,4.0 atp[mA] + 4.0 glu-L[mA] + thf[mA] --> 5thf[mA] + 4.0 adp[mA] + 4.0 h[mA] + 4.0 pi[mA],Astrocyte
FTHFLm,atp[mA] + for[mA] + thf[mA] <=> 10fthf[mA] + adp[mA] + pi[mA],Astrocyte
FUMSO3tm,fum[cA] + so3[mA] <=> fum[mA] + so3[cA],Astrocyte
FUMSO4tm,fum[cA] + so4[mA] <=> fum[mA] + so4[cA],Astrocyte
FUMTSULtm,fum[cA] + tsul[mA] <=> fum[mA] + tsul[cA],Astrocyte
FUMm,fum[mA] + h2o[mA] <=> mal-L[mA],Astrocyte
FUMtm,fum[cA] + pi[mA] <=> fum[mA] + pi[cA],Astrocyte
G3PD2m,fad[mA] + glyc3p[cA] --> dhap[cA] + fadh2[mA],Astrocyte
G5SDym,glu5p[mA] + h[mA] + nadph[mA] --> glu5sa[mA] + nadp[mA] + pi[mA],Astrocyte
G6PDH2r,g6p[cA] + nadp[cA] <=> 6pgl[cA] + h[cA] + nadph[cA],Astrocyte
GAPD,g3p[cA] + nad[cA] + pi[cA] <=> 13dpg[cA] + h[cA] + nadh[cA],Astrocyte
GCALDDm,gcald[mA] + h2o[mA] + nad[mA] --> glyclt[mA] + 2.0 h[mA] + nadh[mA],Astrocyte
GCC2am,gly[mA] + h[mA] + lpam[mA] <=> alpam[mA] + co2[mA],Astrocyte
GCC2bim,alpam[mA] + thf[mA] --> dhlam[mA] + mlthf[mA] + nh4[mA],Astrocyte
GCC2cm,dhlam[mA] + nad[mA] <=> h[mA] + lpam[mA] + nadh[mA],Astrocyte
GCCam,gly[mA] + h[mA] + lpro[mA] <=> alpro[mA] + co2[mA],Astrocyte
GCCbim,alpro[mA] + thf[mA] --> dhlpro[mA] + mlthf[mA] + nh4[mA],Astrocyte
GCCcm,dhlpro[mA] + nad[mA] <=> h[mA] + lpro[mA] + nadh[mA],Astrocyte
GHMT2rm,ser-L[mA] + thf[mA] <=> gly[mA] + h2o[mA] + mlthf[mA],Astrocyte
