ID,Reaction,Node
GHMT3m,3htmelys[mA] + h[mA] --> 4tmeabut[mA] + gly[mA],Astrocyte
GLACOm,glac[mA] + 2.0 h2o[mA] + nad[mA] --> glcr[mA] + 3.0 h[mA] + nadh[mA],Astrocyte
GLCt1r,glc-D[e] --> glc-D[cA],Astrocyte
GLCt2r,glc-D[e] + h[e] --> glc-D[cA] + h[cA],Astrocyte
GLNS,atp[cA] + glu-L[cA] + nh4[cA] --> adp[cA] + gln-L[cA] + h[cA] + pi[cA],Astrocyte
GLNtm,gln-L[cA] --> gln-L[mA],Astrocyte
GLU5Km,atp[mA] + glu-L[mA] --> adp[mA] + glu5p[mA],Astrocyte
GLUDxm,glu-L[mA] + h2o[mA] + nad[mA] <=> akg[mA] + h[mA] + nadh[mA] + nh4[mA],Astrocyte
GLUDym,glu-L[mA] + h2o[mA] + nadp[mA] --> akg[mA] + h[mA] + nadph[mA] + nh4[mA],Astrocyte
GLUNm,gln-L[mA] + h2o[mA] --> glu-L[mA] + nh4[mA],Astrocyte
GLUTCOADHm,fad[mA] + glutcoa[mA] + h[mA] --> b2coa[mA] + co2[mA] + fadh2[mA],Astrocyte
GLUVESSEC,atp[cA] + glu-L[cA] + h2o[cA] --> adp[cA] + glu-L[e] + h[cA] + pi[cA],Astrocyte
GLUt2m,glu-L[cA] + h[cA] <=> glu-L[mA] + h[mA],Astrocyte
GLUt6,glu-L[e] + h[e] + k[cA] + 3.0 na1[e] --> glu-L[cA] + h[cA] + k[e] + 3.0 na1[cA],Astrocyte
GLYATm,accoa[mA] + gly[mA] <=> 2aobut[mA] + coa[mA],Astrocyte
GLYCLTDym,glx[mA] + h[mA] + nadph[mA] --> glyclt[mA] + nadp[mA],Astrocyte
GLYCt,glyc[cA] <=> glyc[e],Astrocyte
GLYCtm,glyc[cA] <=> glyc[mA],Astrocyte
GLYKm,atp[mA] + glyc[mA] --> adp[mA] + glyc3p[mA] + h[mA],Astrocyte
GLYOXm,h2o[mA] + lgt-S[mA] --> gthrd[mA] + h[mA] + lac-D[mA],Astrocyte
GLYt2r,gly[e] + h[e] <=> gly[cA] + h[cA],Astrocyte
GLYtm,gly[cA] <=> gly[mA],Astrocyte
GND,6pgc[cA] + nadp[cA] --> co2[cA] + nadph[cA] + ru5p-D[cA],Astrocyte
GTHOm,gthox[mA] + h[mA] + nadph[mA] --> 2.0 gthrd[mA] + nadp[mA],Astrocyte
GTHPm,2.0 gthrd[mA] + h2o2[mA] <=> gthox[mA] + 2.0 h2o[mA],Astrocyte
H2CO3Dm,co2[mA] + h2o[mA] <=> h2co3[mA],Astrocyte
H2O2t,h2o2[e] <=> h2o2[cA],Astrocyte
H2O2tm,h2o2[cA] <=> h2o2[mA],Astrocyte
H2Ot,h2o[e] <=> h2o[cA],Astrocyte
H2Otm,h2o[cA] <=> h2o[mA],Astrocyte
HACD1m,aacoa[mA] + h[mA] + nadh[mA] <=> 3hbcoa[mA] + nad[mA],Astrocyte
HACD9m,3hmbcoa[mA] + nad[mA] <=> 2maacoa[mA] + h[mA] + nadh[mA],Astrocyte
HBZOPT10m,4hbz[mA] + decdp[mA] --> 3dphb[mA] + ppi[mA],Astrocyte
HCO3Em,co2[mA] + h2o[mA] <=> h[mA] + hco3[mA],Astrocyte
HEX1,atp[cA] + glc-D[cA] --> adp[cA] + g6p[cA] + h[cA],Astrocyte
HIBDm,3hmp[mA] + nad[mA] <=> 2mop[mA] + h[mA] + nadh[mA],Astrocyte
HMBS,h2o[cA] + 4.0 ppbng[cA] --> hmbil[cA] + 4.0 nh4[cA],Astrocyte
HMGCOASim,aacoa[mA] + accoa[mA] + h2o[mA] --> coa[mA] + h[mA] + hmgcoa[mA],Astrocyte
HMGLm,hmgcoa[mA] --> acac[mA] + accoa[mA],Astrocyte
HPROxm,4hpro-LT[mA] + nad[mA] --> 1p3h5c[mA] + 2.0 h[mA] + nadh[mA],Astrocyte
Ht,h[cA] <=> h[e],Astrocyte
Htm,h[cA] --> h[mA],Astrocyte
ICDHxm,icit[mA] + nad[mA] --> akg[mA] + co2[mA] + nadh[mA],Astrocyte
ICDHyrm,icit[mA] + nadp[mA] <=> akg[mA] + co2[mA] + nadph[mA],Astrocyte
ILETA,akg[cA] + ile-L[cA] <=> 3mop[cA] + glu-L[cA],Astrocyte
ILETAm,akg[mA] + ile-L[mA] <=> 3mop[mA] + glu-L[mA],Astrocyte
ILEt5m,ile-L[cA] <=> ile-L[mA],Astrocyte
ILEtec,ile-L[e] <=> ile-L[cA],Astrocyte
IMACTD_m,h2o[mA] + im4act[mA] + nad[mA] --> 2.0 h[mA] + im4ac[mA] + nadh[mA],Astrocyte
ITCOAL1m,coa[mA] + gtp[mA] + itacon[mA] <=> gdp[mA] + itaccoa[mA] + pi[mA],Astrocyte
ITCOALm,atp[mA] + coa[mA] + itacon[mA] <=> adp[mA] + itaccoa[mA] + pi[mA],Astrocyte
Kt1r,k[e] <=> k[cA],Astrocyte
L-LACt2r,h[e] + lac-L[e] <=> h[cA] + lac-L[cA],Astrocyte
L-LACtm,h[cA] + lac-L[cA] --> h[mA] + lac-L[mA],Astrocyte
LCADi_Dm,h2o[mA] + lald-D[mA] + nad[mA] --> 2.0 h[mA] + lac-D[mA] + nadh[mA],Astrocyte
LCADim,h2o[mA] + lald-L[mA] + nad[mA] --> 2.0 h[mA] + lac-L[mA] + nadh[mA],Astrocyte
LCYSTATm,Lcyst[mA] + akg[mA] <=> 3spyr[mA] + glu-L[mA],Astrocyte
LDH_L,lac-L[cA] + nad[cA] <-- h[cA] + nadh[cA] + pyr[cA],Astrocyte
LDH_Lm,lac-L[mA] + nad[mA] <=> h[mA] + nadh[mA] + pyr[mA],Astrocyte
LEUTA,akg[cA] + leu-L[cA] <=> 4mop[cA] + glu-L[cA],Astrocyte
LEUTAm,akg[mA] + leu-L[mA] <=> 4mop[mA] + glu-L[mA],Astrocyte
LEUt5m,leu-L[cA] <=> leu-L[mA],Astrocyte
LEUtec,leu-L[e] <=> leu-L[cA],Astrocyte
LSOProd,focytC[mA] + o2[mA] --> ficytC[mA] + o2s[mA],Astrocyte
LYStiDF,lys-L[e] <=> lys-L[cA],Astrocyte
LYStm,h[mA] + lys-L[cA] <=> h[cA] + lys-L[mA],Astrocyte
MALSO3tm,mal-L[cA] + so3[mA] <=> mal-L[mA] + so3[cA],Astrocyte
MALSO4tm,mal-L[cA] + so4[mA] <=> mal-L[mA] + so4[cA],Astrocyte
MALTSULtm,mal-L[cA] + tsul[mA] <=> mal-L[mA] + tsul[cA],Astrocyte
MALtm,mal-L[cA] + pi[mA] <=> mal-L[mA] + pi[cA],Astrocyte
MCCCrm,3mb2coa[mA] + atp[mA] + hco3[mA] <=> 3mgcoa[mA] + adp[mA] + h[mA] + pi[mA],Astrocyte
MDH,mal-L[cA] + nad[cA] <=> h[cA] + nadh[cA] + oaa[cA],Astrocyte
MDHm,mal-L[mA] + nad[mA] <=> h[mA] + nadh[mA] + oaa[mA],Astrocyte
MECOALm,atp[mA] + coa[mA] + mescon[mA] <=> adp[mA] + mescoa[mA] + pi[mA],Astrocyte
MECOAS1m,coa[mA] + gtp[mA] + mescon[mA] <=> gdp[mA] + mescoa[mA] + pi[mA],Astrocyte
MGCHrm,3mgcoa[mA] + h2o[mA] <=> hmgcoa[mA],Astrocyte
MMCDm,h[mA] + mmcoa-S[mA] --> co2[mA] + ppcoa[mA],Astrocyte
MMEm,mmcoa-R[mA] <=> mmcoa-S[mA],Astrocyte
MMMm,mmcoa-R[mA] <=> succoa[mA],Astrocyte
MMSAD1m,2mop[mA] + coa[mA] + nad[mA] --> co2[mA] + nadh[mA] + ppcoa[mA],Astrocyte
MMSAD3m,coa[mA] + msa[mA] + nad[mA] --> accoa[mA] + co2[mA] + nadh[mA],Astrocyte
MTHFCm,h2o[mA] + methf[mA] <=> 10fthf[mA] + h[mA],Astrocyte
MTHFDm,mlthf[mA] + nadp[mA] <=> methf[mA] + nadph[mA],Astrocyte
NABTNOm,h2o[mA] + n4abutn[mA] + nad[mA] --> 4aabutn[mA] + 2.0 h[mA] + nadh[mA],Astrocyte
NADH2-u10m,5.0 h[mA] + nadh[mA] + q10[mA] --> 4.0 h[cA] + nad[mA] + q10h2[mA],Astrocyte
NDPK10m,atp[mA] + didp[mA] <=> adp[mA] + ditp[mA],Astrocyte
NDPK1m,atp[mA] + gdp[mA] <=> adp[mA] + gtp[mA],Astrocyte
NDPK2m,atp[mA] + udp[mA] <=> adp[mA] + utp[mA],Astrocyte
NDPK3m,atp[mA] + cdp[mA] <=> adp[mA] + ctp[mA],Astrocyte
NDPK4m,atp[mA] + dtdp[mA] <=> adp[mA] + dttp[mA],Astrocyte
NDPK5m,atp[mA] + dgdp[mA] <=> adp[mA] + dgtp[mA],Astrocyte
NDPK6m,atp[mA] + dudp[mA] <=> adp[mA] + dutp[mA],Astrocyte
NDPK7m,atp[mA] + dcdp[mA] <=> adp[mA] + dctp[mA],Astrocyte
NDPK8m,atp[mA] + dadp[mA] <=> adp[mA] + datp[mA],Astrocyte
NDPK9m,atp[mA] + idp[mA] <=> adp[mA] + itp[mA],Astrocyte
NH4t3r,h[e] + nh4[cA] <=> h[cA] + nh4[e],Astrocyte
NMNATm,atp[mA] + h[mA] + nmn[mA] --> nad[mA] + ppi[mA],Astrocyte
NNATm,atp[mA] + h[mA] + nicrnt[mA] --> dnad[mA] + ppi[mA],Astrocyte
NTD1m,dump[mA] + h2o[mA] --> duri[mA] + pi[mA],Astrocyte
NTD2m,h2o[mA] + ump[mA] --> pi[mA] + uri[mA],Astrocyte
NTD5m,dtmp[mA] + h2o[mA] --> pi[mA] + thymd[mA],Astrocyte
NaKt,atp[cA] + h2o[cA] + 2.0 k[e] + 3.0 na1[cA] --> adp[cA] + h[cA] + 2.0 k[cA] + 3.0 na1[e] + pi[cA],Astrocyte
O2St,o2s[cA] <=> o2s[e],Astrocyte
O2Stm,o2s[cA] <=> o2s[mA],Astrocyte
O2t,o2[e] <=> o2[cA],Astrocyte
O2tm,o2[cA] <=> o2[mA],Astrocyte
OCOAT1m,acac[mA] + succoa[mA] <=> aacoa[mA] + succ[mA],Astrocyte
OIVD1m,4mop[mA] + coa[mA] + nad[mA] --> co2[mA] + ivcoa[mA] + nadh[mA],Astrocyte
OIVD2m,3mob[mA] + coa[mA] + nad[mA] --> co2[mA] + ibcoa[mA] + nadh[mA],Astrocyte
OIVD3m,3mop[mA] + coa[mA] + nad[mA] --> 2mbcoa[mA] + co2[mA] + nadh[mA],Astrocyte
ORNTArm,akg[mA] + orn[mA] <=> glu-L[mA] + glu5sa[mA],Astrocyte
ORNt3m,h[cA] + orn[mA] <=> h[mA] + orn[cA],Astrocyte
ORNt4m,citr-L[cA] + h[cA] + orn[mA] <=> citr-L[mA] + h[mA] + orn[cA],Astrocyte
ORNtiDF,orn[e] --> orn[cA],Astrocyte
P45011A1m,chsterol[mA] + h[mA] + nadph[mA] + 2.0 o2[mA] --> 4mptnl[mA] + 2.0 h2o[mA] + nadp[mA] + prgnlone[mA],Astrocyte
P5CDm,1pyr5c[mA] + 2.0 h2o[mA] + nad[mA] --> glu-L[mA] + h[mA] + nadh[mA],Astrocyte
PCFLOPm,atp[cA] + h2o[cA] + pchol_hs[mA] --> adp[cA] + h[cA] + pchol_hs[cA] + pi[cA],Astrocyte
PCm,atp[mA] + hco3[mA] + pyr[mA] --> adp[mA] + h[mA] + oaa[mA] + pi[mA],Astrocyte
PDHm,coa[mA] + nad[mA] + pyr[mA] --> accoa[mA] + co2[mA] + nadh[mA],Astrocyte
PEFLIP,atp[cA] + h2o[cA] + pe_hs[e] --> adp[cA] + h[cA] + pe_hs[cA] + pi[cA],Astrocyte
PEFLIPm,atp[cA] + h2o[cA] + pe_hs[cA] --> adp[cA] + h[cA] + pe_hs[mA] + pi[cA],Astrocyte
PETOHMm_hs,3.0 amet[mA] + pe_hs[mA] --> 3.0 ahcys[mA] + 3.0 h[mA] + pchol_hs[mA],Astrocyte
PFK,atp[cA] + f6p[cA] --> adp[cA] + fdp[cA] + h[cA],Astrocyte
PGCD,3pg[cA] + nad[cA] --> 3php[cA] + h[cA] + nadh[cA],Astrocyte
PGI,g6p[cA] <=> f6p[cA],Astrocyte
PGK,3pg[cA] + atp[cA] <=> 13dpg[cA] + adp[cA],Astrocyte
PGL,6pgl[cA] + h2o[cA] --> 6pgc[cA] + h[cA],Astrocyte
PGM,2pg[cA] <=> 3pg[cA],Astrocyte
PHCDm,1p3h5c[mA] + 2.0 h2o[mA] + nad[mA] --> e4hglu[mA] + h[mA] + nadh[mA],Astrocyte
PHCHGSm,1p3h5c[mA] + h2o[mA] + h[mA] <=> 4hglusa[mA],Astrocyte
PHEMEtm,pheme[mA] <=> pheme[cA],Astrocyte
PHETA1m,akg[mA] + phe-L[mA] <=> glu-L[mA] + phpyr[mA],Astrocyte
PIt2m,h[cA] + pi[cA] <=> h[mA] + pi[mA],Astrocyte
PIt7,3.0 na1[e] + pi[e] <=> 3.0 na1[cA] + pi[cA],Astrocyte
PNTKm,atp[mA] + pnto-R[mA] --> 4ppan[mA] + adp[mA] + h[mA],Astrocyte
PPA,h2o[cA] + ppi[cA] --> h[cA] + 2.0 pi[cA],Astrocyte
PPA2m,h2o[mA] + pppi[mA] --> h[mA] + pi[mA] + ppi[mA],Astrocyte
PPAm,h2o[mA] + ppi[mA] --> h[mA] + 2.0 pi[mA],Astrocyte
PPAt,ppa[e] --> ppa[cA],Astrocyte
PPAtm,ppa[cA] --> ppa[mA],Astrocyte
PPBNGS,2.0 5aop[cA] --> 2.0 h2o[cA] + h[cA] + ppbng[cA],Astrocyte
PPCOACm,atp[mA] + hco3[mA] + ppcoa[mA] --> adp[mA] + h[mA] + mmcoa-S[mA] + pi[mA],Astrocyte
PPCOAOm,fad[mA] + ppcoa[mA] --> fadh2[mA] + prpncoa[mA],Astrocyte
PPPG9tm,pppg9[cA] <=> pppg9[mA],Astrocyte
PPPGOm,3.0 o2[mA] + 2.0 pppg9[mA] --> 6.0 h2o[mA] + 2.0 ppp9[mA],Astrocyte
PRGNLONEtm,prgnlone[cA] <=> prgnlone[mA],Astrocyte
PRO1xm,nad[mA] + pro-L[mA] --> 1pyr5c[mA] + 2.0 h[mA] + nadh[mA],Astrocyte
PROD2m,fad[mA] + pro-L[mA] --> 1pyr5c[mA] + fadh2[mA] + h[mA],Astrocyte
PROt2r,h[e] + pro-L[e] <=> h[cA] + pro-L[cA],Astrocyte
PROtm,pro-L[cA] <=> pro-L[mA],Astrocyte
PRPNCOAHYDm,h2o[mA] + prpncoa[mA] --> 3hpcoa[mA],Astrocyte
PSERT,3php[cA] + glu-L[cA] --> akg[cA] + pser-L[cA],Astrocyte
PSFLIP,atp[cA] + h2o[cA] + ps_hs[e] --> adp[cA] + h[cA] + pi[cA] + ps_hs[cA],Astrocyte
PSFLIPm,atp[cA] + h2o[cA] + ps_hs[cA] --> adp[cA] + h[cA] + pi[cA] + ps_hs[mA],Astrocyte
PSP_L,h2o[cA] + pser-L[cA] --> pi[cA] + ser-L[cA],Astrocyte
PYK,adp[cA] + h[cA] + pep[cA] --> atp[cA] + pyr[cA],Astrocyte
PYLALDOXm,h2o[mA] + nad[mA] + pylald[mA] --> 2.0 h[mA] + nadh[mA] + peracd[mA],Astrocyte
PYRt2m,h[cA] + pyr[cA] <=> h[mA] + pyr[mA],Astrocyte
PYRt2r,h[e] + pyr[e] <=> h[cA] + pyr[cA],Astrocyte
RPE,ru5p-D[cA] <=> xu5p-D[cA],Astrocyte
RPI,r5p[cA] <=> ru5p-D[cA],Astrocyte
SACCD3m,akg[mA] + h[mA] + lys-L[mA] + nadph[mA] --> h2o[mA] + nadp[mA] + saccrp-L[mA],Astrocyte
SACCD4m,h2o[mA] + nadp[mA] + saccrp-L[mA] --> L2aadp6sa[mA] + glu-L[mA] + h[mA] + nadph[mA],Astrocyte
SARCStex,sarcs[e] <=> sarcs[cA],Astrocyte
SARCStm,sarcs[cA] --> sarcs[mA],Astrocyte
SARDHm,fad[mA] + sarcs[mA] + thf[mA] --> fadh2[mA] + gly[mA] + mlthf[mA],Astrocyte
SERGLNexR,gln-L[cA] + ser-L[e] --> gln-L[e] + ser-L[cA],Astrocyte
SERGLYexR,gly[cA] + ser-L[e] <=> gly[e] + ser-L[cA],Astrocyte
SERt4,na1[e] + ser-L[e] --> na1[cA] + ser-L[cA],Astrocyte
SLDxm,nad[mA] + sl-L[mA] <=> 3spyr[mA] + h[mA] + nadh[mA],Astrocyte
SO4HCOtex,2.0 hco3[cA] + so4[e] --> 2.0 hco3[e] + so4[cA],Astrocyte
SPODMm,2.0 h[mA] + 2.0 o2s[mA] --> h2o2[mA] + o2[mA],Astrocyte
SSALxm,h2o[mA] + nad[mA] + sucsal[mA] --> 2.0 h[mA] + nadh[mA] + succ[mA],Astrocyte
SUCCt2m,pi[mA] + succ[cA] <=> pi[cA] + succ[mA],Astrocyte
SUCD1m,fad[mA] + succ[mA] <=> fadh2[mA] + fum[mA],Astrocyte
SUCOAS1m,coa[mA] + gtp[mA] + succ[mA] --> gdp[mA] + pi[mA] + succoa[mA],Astrocyte
SUCOASm,atp[mA] + coa[mA] + succ[mA] <=> adp[mA] + pi[mA] + succoa[mA],Astrocyte
SULFOX,2.0 ficytC[mA] + h2o[cA] + so3[cA] --> 2.0 focytC[mA] + 2.0 h[cA] + so4[cA],Astrocyte
T2M26DCOAHLm,h2o[mA] + t2m26dcoa[mA] <=> 3h26dm5coa[mA],Astrocyte
T4HCINNMFM,34hpl[mA] --> T4hcinnm[mA] + h2o[mA],Astrocyte
TALA,g3p[cA] + s7p[cA] <=> e4p[cA] + f6p[cA],Astrocyte
TCYNTt,tcynt[cA] --> tcynt[e],Astrocyte
TCYNTtm,tcynt[mA] --> tcynt[cA],Astrocyte
THD1m,h[cA] + nadh[mA] + nadp[mA] <=> h[mA] + nad[mA] + nadph[mA],Astrocyte
THFtm,thf[cA] <=> thf[mA],Astrocyte
THYMDt1,thymd[e] --> thymd[cA],Astrocyte
TKT1,r5p[cA] + xu5p-D[cA] <=> g3p[cA] + s7p[cA],Astrocyte
TKT2,e4p[cA] + xu5p-D[cA] <=> f6p[cA] + g3p[cA],Astrocyte
TMDK1m,atp[mA] + thymd[mA] --> adp[mA] + dtmp[mA] + h[mA],Astrocyte
TPI,dhap[cA] <=> g3p[cA],Astrocyte
TRDRm,h[mA] + nadph[mA] + trdox[mA] --> nadp[mA] + trdrd[mA],Astrocyte
TYRTAm,akg[mA] + tyr-L[mA] <=> 34hpp[mA] + glu-L[mA],Astrocyte
UPP3S,hmbil[cA] --> h2o[cA] + uppg3[cA],Astrocyte
UPPDC1,4.0 h[cA] + uppg3[cA] --> 4.0 co2[cA] + cpppg3[cA],Astrocyte
URIt,uri[e] <=> uri[cA],Astrocyte
VALTA,akg[cA] + val-L[cA] <=> 3mob[cA] + glu-L[cA],Astrocyte
VALTAm,akg[mA] + val-L[mA] <=> 3mob[mA] + glu-L[mA],Astrocyte
VALt5m,val-L[cA] <=> val-L[mA],Astrocyte
VALtec,val-L[e] <=> val-L[cA],Astrocyte
VITD2Hm,h[mA] + nadph[mA] + o2[mA] + vitd2[mA] --> 25hvitd2[mA] + h2o[mA] + nadp[mA],Astrocyte
VITD2tm,vitd2[mA] <=> vitd2[cA],Astrocyte
VITD3Hm,h[mA] + nadph[mA] + o2[mA] + vitd3[mA] --> 25hvitd3[mA] + h2o[mA] + nadp[mA],Astrocyte
VITD3tm,vitd3[mA] --> vitd3[cA],Astrocyte
VITD3tm3,vitd3[cA] --> vitd3[mA],Astrocyte
MTDNAploym,9218.0 datp[mA] + 7350.0 dctp[mA] + 7350.0 dgtp[mA] + 9218.0 dttp[mA] + mtDNAn-1[mA] --> mtDNAn[mA] + 33136.0 ppi[mA],Astrocyte
MTDNAdpolym,33136.0 h2o[mA] + mtDNAn[mA] --> 9218.0 damp[mA] + 7350.0 dcmp[mA] + 7350.0 dgmp[mA] + 9218.0 dtmp[mA] + 33136.0 h[mA] + mtDNAn-1[mA],Astrocyte
DAKm,damp[mA] + gtp[mA] --> dadp[mA] + gdp[mA],Astrocyte
DTKm,atp[mA] + dtmp[mA] --> adp[mA] + dtdp[mA],Astrocyte
DCKm,atp[mA] + dcmp[mA] --> adp[mA] + dcdp[mA],Astrocyte
DGKm,atp[mA] + dgmp[mA] --> adp[mA] + dgdp[mA],Astrocyte
NH3tm,h[mA] + nh4[cA] <=> h[cA] + nh4[mA],Astrocyte
NDPK1,atp[cA] + gdp[cA] <=> adp[cA] + gtp[cA],Astrocyte
GGNG,Tyr-ggn[cA] + 8.0 udpg[cA] --> ggn[cA] + 8.0 h[cA] + 8.0 udp[cA],Astrocyte
GLGNS1,ggn[cA] + 3.0 udpg[cA] --> glygn1[cA] + 3.0 h[cA] + 3.0 udp[cA],Astrocyte
GLBRAN,glygn1[cA] --> glygn2[cA],Astrocyte
GLPASE1,glygn2[cA] + 3.0 pi[cA] --> dxtrn[cA] + 3.0 g1p[cA],Astrocyte
GLDBRAN,dxtrn[cA] + h2o[cA] --> glc-D[cA] + glygn3[cA],Astrocyte
GLPASE2,glygn3[cA] + 7.0 h2o[cA] --> Tyr-ggn[cA] + 7.0 glc-D[cA],Astrocyte
SERtm,ser-L[cA] <=> ser-L[mA],Astrocyte
LacLtm,lac-L[cA] --> lac-L[mA],Astrocyte
UREAt,urea[e] <=> urea[cA],Astrocyte
UREAtm,urea[cA] <=> urea[mA],Astrocyte
GLNtN1,gln-L[e] + h[cA] + na1[e] --> gln-L[cA] + h[e] + na1[cA],Astrocyte
DM_4mptnl(m),4mptnl[mA] -->,Terminal
DM_prgnlone(c),prgnlone[cA] -->,Terminal
DM_nadph(c),nadph[cA] --> h[cA] + nadp[cA],Terminal
DM_atp(m),atp[mA] + h2o[mA] --> adp[mA] + h[mA] + pi[mA],Terminal
sink_chsterol,--> chsterol[cA],Terminal
DM_1a2425thvitd3,1a2425thvitd3[mA] -->,Terminal
DM_1a2425thvitd2,1a2425thvitd2[mA] -->,Terminal
sink_vitd3,--> vitd3[cA],Terminal
sink_vitd2,--> vitd2[cA],Terminal
CKc,atp[cA] + creat[cA] <=> adp[cA] + pcreat[cA],Astrocyte
CREATtmdiffir,creat[cA] --> creat[mA],Astrocyte
PCREATtmdiffir,pcreat[mA] --> pcreat[cA],Astrocyte
ALATA_L,akg[cA] + ala-L[cA] <=> glu-L[cA] + pyr[cA],Astrocyte
ALATA_Lm,akg[mA] + ala-L[mA] <=> glu-L[mA] + pyr[mA],Astrocyte
ALAtN1,ala-L[e] <=> ala-L[cA],Astrocyte
DM_pchol_hs,pchol_hs[cA] -->,Terminal
PSDm_hs,h[mA] + ps_hs[mA] --> co2[mA] + pe_hs[mA],Terminal
25HVITD2t_Int,25hvitd2[cA] --> 25hvitd2[I],Astrocyte
25HVITD2tin_Int,25hvitd2[I] --> 25hvitd2[cA],Astrocyte
25HVITD3t_Int,25hvitd3[cA] --> 25hvitd3[I],Astrocyte
25HVITD3tin_Int,25hvitd3[I] --> 25hvitd3[cA],Astrocyte
3AIBt_Int,3aib[cA] --> 3aib[I],Astrocyte
ABUTt2r_Int,4abut[I] + h[I] <=> 4abut[cA] + h[cA],Astrocyte
ACACt2_Int,acac[I] + h[I] <=> acac[cA] + h[cA],Astrocyte
ACALDt_Int,acald[I] <=> acald[cA],Astrocyte
ACt2r_Int,ac[I] + h[I] <=> ac[cA] + h[cA],Astrocyte
ARGLYSex_Int,arg-L[I] + lys-L[cA] --> arg-L[cA] + lys-L[I],Astrocyte
ARGtiDF_Int,arg-L[I] --> arg-L[cA],Astrocyte
ASNt4_Int,asn-L[I] + na1[I] --> asn-L[cA] + na1[cA],Astrocyte
BALAVECSEC_Int,3.0 ala-B[cA] + atp[cA] + h2o[cA] --> adp[cA] + 3.0 ala-B[I] + h[cA] + pi[cA],Astrocyte
BHBt_Int,bhb[I] + h[I] <=> bhb[cA] + h[cA],Astrocyte
BTNt2_Int,btn[I] + h[I] <=> btn[cA] + h[cA],Astrocyte
BTNt4i_Int,btn[I] + h[cA] --> btn[cA] + h[I],Astrocyte
CO2t_Int,co2[I] <=> co2[cA],Astrocyte
CRNt_Int,crn[I] <=> crn[cA],Astrocyte
CYANt_Int,cyan[I] <=> cyan[cA],Astrocyte
CYSGLUexR_Int,cys-L[I] + gln-L[cA] --> cys-L[cA] + gln-L[I],Astrocyte
CYSGLYex_Int,cys-L[cA] + gly[I] --> cys-L[I] + gly[cA],Astrocyte
CYStec_Int,cys-L[I] <=> cys-L[cA],Astrocyte
D-LACt2_Int,h[I] + lac-D[I] <=> h[cA] + lac-D[cA],Astrocyte
DGSNt_Int,dgsn[I] <=> dgsn[cA],Astrocyte
DURIt_Int,duri[I] <=> duri[cA],Astrocyte
ETOHt_Int,etoh[I] <=> etoh[cA],Astrocyte
FE2t_Int,fe2[I] --> fe2[cA],Astrocyte
GLCt2r_Int,glc-D[I] + h[I] --> glc-D[cA] + h[cA],Astrocyte
GLUt6_Int,glu-L[I] + h[I] + k[cA] + 3.0 na1[I] --> glu-L[cA] + h[cA] + k[I] + 3.0 na1[cA],Astrocyte
GLYCt_Int,glyc[cA] <=> glyc[I],Astrocyte
GLYt2r_Int,gly[I] + h[I] <=> gly[cA] + h[cA],Astrocyte
