ID,Node,variable,value
HMGLm,Astrocyte,Sensitivity,0.12049383658017876
MMCDm,Astrocyte,Sensitivity,0.12049383658017872
NDPK1_Neuron,Neuron,Sensitivity,0.1185135354265836
ETF,Astrocyte,Sensitivity,0.11782879902661475
DM_for_Neuron,Terminal,Sensitivity,0.11227855560521789
Kt1r_Int,Astrocyte,Sensitivity,0
sink_vitd2,Terminal,Sensitivity,0.10415462927005131
sink_vitd3,Terminal,Sensitivity,0.10415462927005131
GLUNm,Astrocyte,Sensitivity,0.10162624639766837
DM_atp(c),Terminal,Sensitivity,0.1016262463976683
DM_pchol_hs,Terminal,Sensitivity,0.1016262463976683
PSFLIP,Astrocyte,Sensitivity,0.1016262463976683
PSFLIP_Int,Astrocyte,Sensitivity,0.1016262463976683
PSFLIPm,Astrocyte,Sensitivity,0.1016262463976683
ACYP,Astrocyte,Sensitivity,0.10162624639766826
DPGase,Astrocyte,Sensitivity,0.10162624639766826
LCADi_Dm,Astrocyte,Sensitivity,0.09559313845952844
GCC2bim,Astrocyte,Sensitivity,0.0955931384595266
GCCbim,Astrocyte,Sensitivity,0.0955931384595266
PROD2m,Astrocyte,Sensitivity,0.09236690168139318
PRO1xm,Astrocyte,Sensitivity,0.08945010681678646
PYRt2r_Int,Astrocyte,Sensitivity,0.08680866587348109
sink_tyr-L(m)_Neuron,Terminal,Sensitivity,0.07638500393186803
ADPRDPm,Astrocyte,Sensitivity,0.06386370767950153
AASAD3m,Astrocyte,Sensitivity,0.052943694115320586
ASNt4,Astrocyte,Sensitivity,0.043281074730148215
ASNt4_Int,Astrocyte,Sensitivity,0.043281074730148215
ALDD2x_Neuron,Neuron,Sensitivity,0.0423115408675274
3DPHBH2_Neuron,Neuron,Sensitivity,0.04231154086752686
ACOAD1fm_Neuron,Neuron,Sensitivity,0.04231154086752679
LSOProd_Neuron,Neuron,Sensitivity,0.04231154086752677
Htm_Neuron,Neuron,Sensitivity,0.042311540867526705
ICDHxm_Neuron,Neuron,Sensitivity,0.04231154086752646
GLUDym_Neuron,Neuron,Sensitivity,0.042311540867526413
EX_o2s(e),Exchange,Sensitivity,0.04231154086752619
L-LACtm_Neuron,Neuron,Sensitivity,0.04231154086752445
EX_btn(e),Exchange,Sensitivity,0.04231154086752433
SERt4_Int,Astrocyte,Sensitivity,0.03564676468208343
SERt4,Astrocyte,Sensitivity,0.03564676468208341
GLUDym,Astrocyte,Sensitivity,0.032483779603356355
ICDHxm,Astrocyte,Sensitivity,0.03248377960335564
Htm,Astrocyte,Sensitivity,0.03248377960335507
MMSAD3m,Astrocyte,Sensitivity,0.030982730418854926
DM_ahcys_Neuron,Terminal,Sensitivity,0.028366175824142588
ATPtm,Astrocyte,Sensitivity,0.022932679057345556
PCREATtmdiffir,Astrocyte,Sensitivity,0.022932679057345556
LSOProd,Astrocyte,Sensitivity,0.02254895615401662
DM_ahcys,Terminal,Sensitivity,0.021727838673219826
SPODMm,Astrocyte,Sensitivity,0.020084125593157923
NaEX_Neuron,Neuron,Flux,1
DM_pheme(c)_Neuron,Terminal,Flux,0
DM_pheme(c),Terminal,Flux,0
GLCt1r,Astrocyte,Flux,0.2275047612364218
Kt1r_Neuron,Neuron,Flux,0.9327452401202376
DM_7dhf,Terminal,Flux,0
DM_thf(c),Terminal,Flux,0
DM_10fthf7glu_Neuron,Terminal,Flux,0
sink_dhf(c)_Neuron,Terminal,Flux,0
DM_7thf_Neuron,Terminal,Flux,0
H2Otm_Neuron,Neuron,Flux,0.8873408209388892
GLGNS1,Astrocyte,Flux,0
DM_6dhf,Terminal,Flux,0
DM_10fthf6glu_Neuron,Terminal,Flux,0
DM_6thf_Neuron,Terminal,Flux,0
ATPS4m_Neuron,Neuron,Flux,0.8581238802303921
ATPtm_Neuron,Neuron,Flux,0.8581238802303921
PIt2m_Neuron,Neuron,Flux,0.858123880230392
GLCt1r_Neuron,Neuron,Flux,0.14347561138638967
DM_10fthf5glu_Neuron,Terminal,Flux,0
DM_5thf_Neuron,Terminal,Flux,0
NaKt_Neuron,Neuron,Flux,0.8142410713786293
DM_atp(c)_Neuron,Terminal,Flux,0.6019729206845044
sink_tyr-L(m),Terminal,Flux,0
GLCt2r,Astrocyte,Flux,0
GLCt2r_Int,Astrocyte,Flux,0
CYOR-u10m_Neuron,Neuron,Flux,0.7132870423130447
EX_crn(e),Exchange,Flux,0
DM_5thf,Terminal,Flux,0
3DPHBH2,Astrocyte,Flux,0
3DPHBH1,Astrocyte,Flux,0
DM_10fthf5glu,Terminal,Flux,0
EX_leu-L(e),Exchange,Flux,0
NADH2-u10m_Neuron,Neuron,Flux,0.6821317968990064
EX_ile-L(e),Exchange,Flux,0
EX_bhb(e),Exchange,Flux,0
EX_val-L(e),Exchange,Flux,0
EX_acac(e),Exchange,Flux,0
AACOAT_Neuron,Neuron,Flux,0
EX_pro-L(e),Exchange,Flux,0
EX_lys-L(e),Exchange,Flux,0
EX_etoh(e),Exchange,Flux,0
EX_NACASPt_Int,Exchange,Flux,0
sink_4hpro-LT(m)_Neuron,Terminal,Flux,0
EX_h2o(e),Exchange,Flux,0.594895386299718
O2t_Int,Astrocyte,Flux,0.5948953862997173
CYOOm2_Neuron,Neuron,Flux,0.5948953862997168
O2t_Neuron,Neuron,Flux,0.5948953862997173
O2tm_Neuron,Neuron,Flux,0.5948953862997173
EX_o2(e),Exchange,Flux,0.594895386299717
O2t,Astrocyte,Flux,0.594895386299717
CO2t,Astrocyte,Flux,0.5948953862997168
CO2t_Int,Astrocyte,Flux,0.5948953862997168
CO2t_Neuron,Neuron,Flux,0.5948953862997168
CO2tm_Neuron,Neuron,Flux,0.5948953862997168
EX_co2(e),Exchange,Flux,0.5948953862997168
sink_4hpro-LT(m),Terminal,Flux,0
EX_lac-L(e),Exchange,Flux,0
DM_10fthf6glu,Terminal,Flux,0
DM_6thf,Terminal,Flux,0
GLUVESSEC,Astrocyte,Flux,0
DM_6dhf_Neuron,Terminal,Flux,0
EX_ppa(e),Exchange,Flux,0
EX_3aib(e),Exchange,Flux,0
EX_4abut(e),Exchange,Flux,0
GLUt6,Astrocyte,Flux,0
EX_acald(e),Exchange,Flux,0
EX_orn(e),Exchange,Flux,0
EX_pyr(e),Exchange,Flux,0
MDHm_Neuron,Neuron,Flux,0.525771967612382
EX_ac(e),Exchange,Flux,0
C160CPT2_Neuron,Neuron,Flux,0
C204CPT2_Neuron,Neuron,Flux,0
C226CPT2_Neuron,Neuron,Flux,0
CYSGLUexR,Astrocyte,Flux,0
SERGLNexR,Astrocyte,Flux,0
GLNtN1,Astrocyte,Flux,0
DM_1a2425thvitd2_Neuron,Terminal,Flux,0
DM_1a2425thvitd3_Neuron,Terminal,Flux,0
EX_cys-L(e),Exchange,Flux,0
sink_dmgly,Terminal,Flux,0
EX_ala-B(e),Exchange,Flux,0
sink_dmgly_Neuron,Terminal,Flux,0
GLYCLTDym_Neuron,Neuron,Flux,0
EX_nh4(e),Exchange,Flux,0
ETOHMO_Neuron,Neuron,Flux,0
EX_sarcs(e),Exchange,Flux,0
GND,Astrocyte,Flux,0
AKGMALtm_Neuron,Neuron,Flux,0.4083399935410399
HMGCOASim_Neuron,Neuron,Flux,0.40833999354103956
CSm_Neuron,Neuron,Flux,0.40833999354103956
FUMm_Neuron,Neuron,Flux,0.40833999354103956
ICDHyrm_Neuron,Neuron,Flux,0.40833999354103956
PYRt2m_Neuron,Neuron,Flux,0.40833999354103956
SUCD1m_Neuron,Neuron,Flux,0.40833999354103956
ACONTm_Neuron,Neuron,Flux,0.40833999354103956
AKGDm_Neuron,Terminal,Flux,0.40833999354103956
ETF_Neuron,Neuron,Flux,0.40833999354103956
ETFQO_Neuron,Neuron,Flux,0.40833999354103956
HMGLm_Neuron,Neuron,Flux,0.40833999354103956
OCOAT1m_Neuron,Neuron,Flux,0.40833999354103956
PDHm_Neuron,Neuron,Flux,0.40833999354103956
THD1m_Neuron,Neuron,Flux,0.40833999354103945
MDH_Neuron,Neuron,Flux,0.408339993541037
ASPGLUm_Neuron,Neuron,Flux,0.408339993541037
ASPTA_Neuron,Neuron,Flux,0.408339993541037
ASPTAm_Neuron,Neuron,Flux,0.408339993541037
"24,25VITD2Hm",Astrocyte,Flux,0
"24,25VITD3Hm",Astrocyte,Flux,0
25VITD2Hm,Astrocyte,Flux,0
25VITD3Hm,Astrocyte,Flux,0
ALR,Astrocyte,Flux,0
ACSm_Neuron,Neuron,Flux,0
EX_ser-L(e),Exchange,Flux,0
COQ3m_Neuron,Neuron,Flux,0
ETOHMO,Astrocyte,Flux,0
ALCD2yf,Astrocyte,Flux,0
ALDD2y,Astrocyte,Flux,0
PYK,Astrocyte,Flux,0.3369869303271441
GAPD,Astrocyte,Flux,0.3369869303271446
PGK,Astrocyte,Flux,0.3369869303271446
ENO,Astrocyte,Flux,0.3369869303271441
PGM,Astrocyte,Flux,0.3369869303271441
LDH_L_Neuron,Neuron,Flux,0.33698693032714
L-LACt2r_Int,Astrocyte,Flux,0.33698693032714
L-LACt2r_Neuron,Neuron,Flux,0.33698693032714
LDH_L,Astrocyte,Flux,0.33698693032714
COQ7m,Astrocyte,Flux,0
DGNSKm,Astrocyte,Flux,0
MMSAD1m,Astrocyte,Flux,0
ACOAD8m_Neuron,Neuron,Flux,0
P45011A1m_Neuron,Neuron,Flux,0
GTHOm_Neuron,Neuron,Flux,0
NMNATm_Neuron,Neuron,Flux,0
EX_glc(e),Exchange,Flux,0.293960172233656
GLYOXm,Astrocyte,Flux,0
DM_nadph(c)_Neuron,Terminal,Flux,0
GLYOXm_Neuron,Neuron,Flux,0
EX_lac-D(e),Exchange,Flux,0
CYSO,Astrocyte,Flux,0
PPAt_Neuron,Neuron,Flux,0
H2Ot,Astrocyte,Flux,0.2551643238024977
NH4t3r_Neuron,Neuron,Flux,0.2551643238024936
NH3tm_Neuron,Neuron,Flux,0.2551643238024936
NH4t3r_Int,Astrocyte,Flux,0.2551643238024936
GLNtN1_Neuron,Neuron,Flux,0.2551643238024872
GLNS,Astrocyte,Flux,0.2551643238024872
GLNtN1_Int,Astrocyte,Flux,0.2551643238024872
GLUNm_Neuron,Neuron,Flux,0.2551643238024872
GLNtm_Neuron,Neuron,Flux,0.2551643238024872
GLUt6_Int,Astrocyte,Flux,0.2551643238024872
GLUVESSEC_Neuron,Neuron,Flux,0.2551643238024872
GLUt2m_Neuron,Neuron,Flux,0.25516432380248066
GTHOm,Astrocyte,Flux,0
P45011A1m,Astrocyte,Flux,0
"1a,24,25VITD2Hm",Astrocyte,Flux,0
"1a,24,25VITD3Hm",Astrocyte,Flux,0
"1a,25VITD2Hm",Astrocyte,Flux,0
"1a,25VITD3Hm",Astrocyte,Flux,0
FPGS8m,Astrocyte,Flux,0
ASPGLUm,Astrocyte,Flux,0
ADPRDPm_Neuron,Neuron,Flux,0
APOCFm_Neuron,Neuron,Flux,0
DTKm_Neuron,Neuron,Flux,0
DAKm_Neuron,Neuron,Flux,0
DCKm_Neuron,Neuron,Flux,0
DGKm_Neuron,Neuron,Flux,0
SSALxm,Astrocyte,Flux,0
ENO_Neuron,Neuron,Flux,0.23761354497840462
GAPD_Neuron,Neuron,Flux,0.23761354497840462
PGK_Neuron,Neuron,Flux,0.23761354497840462
PGM_Neuron,Neuron,Flux,0.23761354497840462
PYK_Neuron,Neuron,Flux,0.23761354497840462
L-LACtm,Astrocyte,Flux,0
ALDD2xm,Astrocyte,Flux,0
AKGDm,Astrocyte,Flux,0
HEX1,Astrocyte,Flux,0.2275047612364218
PFK,Astrocyte,Flux,0.2275047612364218
FBA,Astrocyte,Flux,0.2275047612364218
PGI,Astrocyte,Flux,0.2275047612364218
TPI,Astrocyte,Flux,0.2275047612364218
LacLtm,Astrocyte,Flux,0
PCm,Astrocyte,Flux,0
DM_for,Terminal,Flux,0
PPAm,Astrocyte,Flux,0
DM_q10(m)_Neuron,Terminal,Flux,0
ACACt2_Neuron,Neuron,Flux,0
ALCD2if_Neuron,Neuron,Flux,0
ALR_Neuron,Neuron,Flux,0
EX_pe_hs(e),Exchange,Flux,0
PEFLIP_Int,Astrocyte,Flux,0
NaKt_Int,Astrocyte,Flux,0.19532483578669
SERGLNexR_Int,Astrocyte,Flux,0
CYSGLUexR_Int,Astrocyte,Flux,0
MMSAD1m_Neuron,Neuron,Flux,0
GLYKm_Neuron,Neuron,Flux,0
PNTKm_Neuron,Neuron,Flux,0
PEFLIPm_Neuron,Neuron,Flux,0
ALCD2yf_Neuron,Neuron,Flux,0
DM_thf(c)_Neuron,Terminal,Flux,0
DM_q10(m),Terminal,Flux,0
ASNt4_Neuron,Neuron,Flux,0
BTNt2_Int,Astrocyte,Flux,0.15733754037239156
BTNt4i_Int,Astrocyte,Flux,0.15733754037239156
PROD2m_Neuron,Neuron,Flux,0
MMCDm_Neuron,Terminal,Flux,0
SUCOAS1m_Neuron,Neuron,Flux,0
SUCOASm_Neuron,Neuron,Flux,0
DUTPDPm_Neuron,Neuron,Flux,0
ACYP_Neuron,Neuron,Flux,0
DM_atp(m)_Neuron,Terminal,Flux,0
DURIK1m_Neuron,Neuron,Flux,0
PCFLOPm_Neuron,Neuron,Flux,0
PEFLIP_Neuron,Neuron,Flux,0
PSFLIP_Neuron,Neuron,Flux,0
PSFLIPm_Neuron,Neuron,Flux,0
TMDK1m_Neuron,Neuron,Flux,0
ADK1_Neuron,Neuron,Flux,0
CKc_Neuron,Neuron,Flux,0
CREATtmdiffir_Neuron,Neuron,Flux,0
DPGM_Neuron,Neuron,Flux,0
PGI_Neuron,Neuron,Flux,0.14347561138638967
HEX1_Neuron,Neuron,Flux,0.14347561138638967
PFK_Neuron,Neuron,Flux,0.14347561138638965
FBA_Neuron,Neuron,Flux,0.14347561138638965
TPI_Neuron,Neuron,Flux,0.14347561138638965
BHBt_Neuron,Neuron,Flux,0
ORNtiDF_Int,Astrocyte,Flux,0
3AIBtm,Astrocyte,Flux,0
DM_atp(m),Terminal,Flux,0
DURIK1m,Astrocyte,Flux,0
NTD5m,Astrocyte,Flux,0
HMGLm,Astrocyte,Flux,0
MMCDm,Astrocyte,Flux,0
NDPK1_Neuron,Neuron,Flux,0
ETF,Astrocyte,Flux,0
DM_for_Neuron,Terminal,Flux,0
Kt1r_Int,Astrocyte,Flux,0.11212400096301249
sink_vitd2,Terminal,Flux,0
sink_vitd3,Terminal,Flux,0
GLUNm,Astrocyte,Flux,0
DM_atp(c),Terminal,Flux,0
DM_pchol_hs,Terminal,Flux,0
PSFLIP,Astrocyte,Flux,0
PSFLIP_Int,Astrocyte,Flux,0
PSFLIPm,Astrocyte,Flux,0
ACYP,Astrocyte,Flux,0
DPGase,Astrocyte,Flux,0
LCADi_Dm,Astrocyte,Flux,0
GCC2bim,Astrocyte,Flux,0
GCCbim,Astrocyte,Flux,0
PROD2m,Astrocyte,Flux,0
PRO1xm,Astrocyte,Flux,0
PYRt2r_Int,Astrocyte,Flux,0
sink_tyr-L(m)_Neuron,Terminal,Flux,0
ADPRDPm,Astrocyte,Flux,0
AASAD3m,Astrocyte,Flux,0
ASNt4,Astrocyte,Flux,0
ASNt4_Int,Astrocyte,Flux,0
ALDD2x_Neuron,Neuron,Flux,0
3DPHBH2_Neuron,Neuron,Flux,0
ACOAD1fm_Neuron,Neuron,Flux,0
LSOProd_Neuron,Neuron,Flux,0
Htm_Neuron,Neuron,Flux,0
ICDHxm_Neuron,Neuron,Flux,0
GLUDym_Neuron,Neuron,Flux,0
EX_o2s(e),Exchange,Flux,0
L-LACtm_Neuron,Neuron,Flux,0
EX_btn(e),Exchange,Flux,0
SERt4_Int,Astrocyte,Flux,0
SERt4,Astrocyte,Flux,0
GLUDym,Astrocyte,Flux,0
ICDHxm,Astrocyte,Flux,0
Htm,Astrocyte,Flux,0
MMSAD3m,Astrocyte,Flux,0
DM_ahcys_Neuron,Terminal,Flux,0
ATPtm,Astrocyte,Flux,0
PCREATtmdiffir,Astrocyte,Flux,0
LSOProd,Astrocyte,Flux,0
DM_ahcys,Terminal,Flux,0
SPODMm,Astrocyte,Flux,0
